seed,intervention,phi_lower,phi_upper,phi_mean,psi_feasible_lower,psi_feasible_upper,phi_psi_sign_agree,robust_phi
100,repeat_cap,0.2646803891913915,0.2908771682099773,0.2776711505972151,0.2640733352498164,0.2886574231593191,True,0.2691693361217048
100,explore_slot,-0.0882512614346721,-0.087293171809652,-0.0877629633194013,-0.0884694901786144,-0.0871539596731254,True,-0.08780886474246236
100,tail_slot,-0.0693428304157027,-0.0662652329873964,-0.0681351103447437,-0.0696162164936633,-0.0657971388336456,True,-0.06847159628462986
100,diversify,-0.0600559331558157,-0.0589009937636924,-0.0595428591132994,-0.0611759504395193,-0.0600613683320035,True,-0.059543530452044385
100,novel_slot,-0.0854650439129619,-0.0808385478813978,-0.0832878849176503,-0.0855721700088095,-0.0807576616379653,True,-0.08524028989428782
100,provider_balance,-0.1180852508247847,-0.1159016201262585,-0.1172207153934499,-0.1194781254341481,-0.1169774063488334,True,-0.11760138301804099
101,repeat_cap,0.267230000010064,0.2865750053285828,0.2756857035383684,0.2667140888725971,0.2854752626172576,True,0.2718026683161674
101,explore_slot,-0.0881848671895841,-0.087115970534171,-0.0875483935804339,-0.0884431615485215,-0.0875985177205729,True,-0.0880741916836441
101,tail_slot,-0.0693115077036861,-0.0659760850013147,-0.067695175160853,-0.0700925553067789,-0.066039452024774,True,-0.06870282833643052
101,diversify,-0.0593002640117308,-0.0586260624109629,-0.0590961128349721,-0.0610090418797595,-0.0587958401737354,True,-0.05821964546762714
101,novel_slot,-0.0848517743976315,-0.0813663036994151,-0.0827473584782945,-0.084771299897742,-0.0813759241204894,True,-0.08468629694715908
101,provider_balance,-0.1194100143198709,-0.1151542069620445,-0.1178636896337079,-0.1209411089704175,-0.1151998659586127,True,-0.118059933823183
102,repeat_cap,0.2657202125980444,0.2824970618258477,0.2739082751450781,0.2655812213469666,0.2810048270718316,True,0.27110443821568236
102,explore_slot,-0.0878781270817227,-0.0869022684637973,-0.0874008966667888,-0.0879340348185049,-0.0872756290910372,True,-0.08728753556676908
102,tail_slot,-0.0697289164803109,-0.0670259727516993,-0.0681805668450615,-0.0698045082456584,-0.0671368598638831,True,-0.06869529617387804
