seed,intervention,phi_lower,phi_upper,phi_mean,psi_feasible_lower,psi_feasible_upper,phi_psi_sign_agree,robust_phi
42,repeat_cap,0.2723047498969453,0.285993697676158,0.2770128129522102,0.2711248775763906,0.2839344966351028,True,0.2742475166775198
42,explore_slot,-0.0882334265780428,-0.0866798519176324,-0.0873117317756574,-0.0886890335974578,-0.0871929028707411,True,-0.08740857752932679
42,tail_slot,-0.0693078851916558,-0.0663865158942031,-0.0677288837801994,-0.069756752851085,-0.0666857497250817,True,-0.06792414027035495
42,diversify,-0.0602883844511035,-0.0584086384275064,-0.0594699800194793,-0.0615487805527028,-0.059685904007135,True,-0.05980678837434342
42,novel_slot,-0.0840678319170042,-0.0803964005660939,-0.0830668565412391,-0.0845994880528944,-0.0805123602363717,True,-0.08422328836042228
42,provider_balance,-0.1194299990777953,-0.1181573215868909,-0.1187523407464485,-0.1202339035002584,-0.1188201325999783,True,-0.11918419961486992
43,repeat_cap,0.267571802587331,0.2802738755187998,0.2754083006670074,0.2669959289962633,0.2792287285968708,True,0.2691812194518576
43,explore_slot,-0.0878688943280593,-0.0864047818463891,-0.0874089870471158,-0.0884839479023189,-0.0868195970695884,True,-0.08728192848304916
43,tail_slot,-0.0677083950907185,-0.0662199713800748,-0.0670417151109711,-0.0676694763268671,-0.0664415825495221,True,-0.06801437580537109
43,diversify,-0.0597920079922337,-0.0593400307484828,-0.059521267111188,-0.0609297162482543,-0.0600945953979731,True,-0.05969474600483793
43,novel_slot,-0.0863381417363278,-0.0794707456331499,-0.0823812230438581,-0.0868634567479695,-0.0794317212565952,True,-0.08585902097913965
43,provider_balance,-0.1184343081586265,-0.1153103494186791,-0.1175312034274938,-0.1197276592834433,-0.1163756027624009,True,-0.11695210495500469
44,repeat_cap,0.2626994912453714,0.2771898778391664,0.2717361738440945,0.2616678146944817,0.2756947118109398,True,0.26660170970899083
44,explore_slot,-0.0881329002852199,-0.0874678166368042,-0.087713895004783,-0.0884952286232992,-0.0878375054121745,True,-0.0876273790681792
44,tail_slot,-0.0682311925115623,-0.0668195305773224,-0.0676241154585788,-0.0685597175569212,-0.0663880415281887,True,-0.06765489204701593
44,diversify,-0.0596184759053266,-0.0586983496760349,-0.0591125216709233,-0.0608906427571563,-0.0596314613246466,True,-0.05878473772075426
44,novel_slot,-0.0844754470373955,-0.0810050727183085,-0.0821491968558067,-0.0844955747349633,-0.0812220336235912,True,-0.08504785957276022
44,provider_balance,-0.1189880547800766,-0.1172470115474488,-0.1183386706627337,-0.1205025175632687,-0.11858293207262,True,-0.11866084857000013
45,repeat_cap,0.2654997860864,0.2837399245893431,0.2734717598341491,0.2652232260313609,0.2823873104474279,True,0.26743320907012363
45,explore_slot,-0.0877697784786814,-0.087114331521921,-0.0874210384317469,-0.0883134185599989,-0.0875827815976219,True,-0.08728078185005658
45,tail_slot,-0.0686175710300723,-0.067192029160194,-0.0680058823837074,-0.0691797181940364,-0.0676873455086642,True,-0.06785821995753073
45,diversify,-0.0599059059049395,-0.0592879970479566,-0.0596692742924733,-0.0613184315581475,-0.0607556568504784,True,-0.059913738632640066
45,novel_slot,-0.0843146293907659,-0.0803178528044422,-0.0820212743600107,-0.0844857566583538,-0.0806895643277472,True,-0.08321918534773426
45,provider_balance,-0.1196498527632996,-0.1174544061367397,-0.1184483623045177,-0.1211242431238878,-0.1187814297764513,True,-0.11898962099248575
46,repeat_cap,0.2638065816667573,0.2804449358486336,0.2717940519976574,0.2623591929022466,0.2792667930152351,True,0.26537053592008925
46,explore_slot,-0.088295859425873,-0.087019920625989,-0.0876417301675005,-0.0882195127739626,-0.0872975287289708,True,-0.08790741717854979
46,tail_slot,-0.06901180697919,-0.0658015896664491,-0.0677370326819774,-0.0690275699996509,-0.0651186608033588,True,-0.06846237628743124
46,diversify,-0.0599596039054342,-0.0591115399329036,-0.0594129134820487,-0.0606304507455946,-0.0599575964170671,True,-0.05941572861635043
46,novel_slot,-0.0820877004514555,-0.0797589368952932,-0.081140841714229,-0.0821503674234555,-0.0795696458106435,True,-0.0820627562896933
46,provider_balance,-0.1201833806193033,-0.1181683390900002,-0.1192849058058014,-0.1212454977974267,-0.1186467270916012,True,-0.12030581212857641
