seed,family,metric,user,value
46,uniform,HitRate@5,0,0.0
46,uniform,HitRate@5,1,0.0
46,uniform,HitRate@5,2,0.0
46,uniform,HitRate@5,3,0.0
46,uniform,HitRate@5,4,0.0
46,uniform,HitRate@5,5,0.0
46,uniform,HitRate@5,6,0.0
46,uniform,HitRate@5,7,0.0
46,uniform,HitRate@5,8,0.0
46,uniform,HitRate@5,9,0.0
46,uniform,HitRate@5,10,0.0
46,uniform,HitRate@5,11,0.0
46,uniform,HitRate@5,12,0.0
46,uniform,HitRate@5,13,0.0
46,uniform,HitRate@5,14,0.0
46,uniform,HitRate@5,15,0.0
46,uniform,HitRate@5,16,0.0
46,uniform,HitRate@5,17,0.0
46,uniform,HitRate@5,18,0.0
46,uniform,HitRate@5,19,0.0
46,uniform,HitRate@5,20,0.0
46,uniform,HitRate@5,21,0.0
46,uniform,HitRate@5,22,0.0
46,uniform,HitRate@5,23,0.0
46,uniform,HitRate@5,24,0.0
46,uniform,HitRate@5,25,0.0
46,uniform,HitRate@5,26,1.0
46,uniform,HitRate@5,27,0.0
46,uniform,HitRate@5,28,0.0
46,uniform,HitRate@5,29,0.0
46,uniform,HitRate@5,30,0.0
46,uniform,HitRate@5,31,0.0
46,uniform,HitRate@5,32,0.0
46,uniform,HitRate@5,33,0.0
46,uniform,HitRate@5,34,0.0
46,uniform,HitRate@5,35,0.0
46,uniform,HitRate@5,36,0.0
46,uniform,HitRate@5,37,0.0
46,uniform,HitRate@5,38,0.0
46,uniform,HitRate@5,39,0.0
46,uniform,HitRate@5,40,0.0
46,uniform,HitRate@5,41,0.0
46,uniform,HitRate@5,42,0.0
46,uniform,HitRate@5,43,0.0
46,uniform,HitRate@5,44,0.0
46,uniform,HitRate@5,45,0.0
46,uniform,HitRate@5,46,0.0
46,uniform,HitRate@5,47,0.0
46,uniform,HitRate@5,48,0.0
46,uniform,HitRate@5,49,0.0
46,uniform,HitRate@5,50,0.0
46,uniform,HitRate@5,51,0.0
46,uniform,HitRate@5,52,0.0
46,uniform,HitRate@5,53,0.0
46,uniform,HitRate@5,54,0.0
46,uniform,HitRate@5,55,0.0
46,uniform,HitRate@5,56,0.0
46,uniform,HitRate@5,57,0.0
46,uniform,HitRate@5,58,0.0
46,uniform,HitRate@5,59,0.0
46,uniform,HitRate@5,60,0.0
46,uniform,HitRate@5,61,0.0
46,uniform,HitRate@5,62,0.0
46,uniform,HitRate@5,63,0.0
46,uniform,HitRate@5,64,0.0
46,uniform,HitRate@5,65,0.0
46,uniform,HitRate@5,66,0.0
46,uniform,HitRate@5,67,0.0
46,uniform,HitRate@5,68,0.0
46,uniform,HitRate@5,69,0.0
46,uniform,HitRate@5,70,0.0
46,uniform,HitRate@5,71,0.0
46,uniform,HitRate@5,72,0.0
