user_id,item_id,response,timestamp,position
0,193,0,0,0
0,67,1,0,1
0,190,0,0,2
0,149,1,0,3
0,229,1,0,4
0,196,0,0,5
0,232,1,0,6
0,150,1,0,7
0,239,1,0,8
0,66,0,0,9
1,231,1,0,0
1,184,1,0,1
1,226,0,0,2
1,213,0,0,3
1,208,0,0,4
1,185,1,0,5
1,107,1,0,6
1,98,1,0,7
1,192,1,0,8
1,79,0,0,9
2,52,1,0,0
2,113,1,0,1
2,190,1,0,2
2,144,1,0,3
2,137,0,0,4
2,39,0,0,5
2,61,0,0,6
2,115,0,0,7
2,157,1,0,8
2,206,0,0,9
3,107,0,0,0
3,83,0,0,1
3,57,0,0,2
3,102,1,0,3
3,26,1,0,4
3,74,0,0,5
3,219,1,0,6
3,116,1,0,7
3,20,1,0,8
3,12,1,0,9
4,129,1,0,0
4,137,1,0,1
4,189,1,0,2
4,101,1,0,3
4,166,0,0,4
4,206,1,0,5
4,91,0,0,6
4,77,1,0,7
4,32,1,0,8
4,42,1,0,9
5,124,0,0,0
5,168,1,0,1
5,115,1,0,2
5,130,1,0,3
5,53,0,0,4
5,229,1,0,5
5,123,0,0,6
5,97,1,0,7
5,45,0,0,8
5,138,0,0,9
6,129,0,0,0
6,215,1,0,1
6,53,0,0,2
6,0,1,0,3
6,173,1,0,4
6,36,1,0,5
6,70,1,0,6
6,209,1,0,7
6,152,1,0,8
6,214,1,0,9
7,64,1,0,0
7,169,0,0,1
7,49,1,0,2
7,178,0,0,3
7,47,0,0,4
7,163,1,0,5
7,74,1,0,6
7,72,1,0,7
7,161,1,0,8
7,90,1,0,9
8,180,1,0,0
8,7,0,0,1
8,190,1,0,2
8,73,1,0,3
8,4,1,0,4
8,184,1,0,5
8,211,1,0,6
8,130,1,0,7
8,213,1,0,8
8,141,1,0,9
9,138,0,0,0
9,146,0,0,1
9,129,0,0,2
9,66,1,0,3
9,140,0,0,4
9,90,0,0,5
9,111,1,0,6
9,50,1,0,7
9,199,1,0,8
9,123,1,0,9
10,105,0,0,0
10,10,1,0,1
10,80,1,0,2
10,41,1,0,3
10,185,1,0,4
10,231,0,0,5
10,56,0,0,6
10,9,1,0,7
10,107,1,0,8
10,203,1,0,9
11,208,1,0,0
11,67,1,0,1
11,64,1,0,2
11,74,1,0,3
11,26,1,0,4
11,98,1,0,5
11,96,1,0,6
11,70,0,0,7
11,114,1,0,8
11,20,1,0,9
12,210,1,0,0
12,239,0,0,1
12,209,1,0,2
12,124,1,0,3
12,97,0,0,4
12,102,0,0,5
12,177,1,0,6
12,109,1,0,7
12,199,1,0,8
12,127,0,0,9
13,213,1,0,0
13,225,0,0,1
13,73,0,0,2
13,129,1,0,3
13,120,1,0,4
13,189,0,0,5
13,66,1,0,6
13,39,0,0,7
13,24,0,0,8
13,108,1,0,9
14,37,0,0,0
14,116,1,0,1
14,41,1,0,2
14,81,1,0,3
14,217,0,0,4
14,67,1,0,5
14,122,1,0,6
14,131,0,0,7
14,160,1,0,8
14,45,1,0,9
15,11,1,0,0
15,238,1,0,1
15,54,1,0,2
15,187,1,0,3
15,239,1,0,4
15,99,0,0,5
15,153,0,0,6
15,122,1,0,7
15,143,1,0,8
15,170,1,0,9
16,68,1,0,0
16,10,1,0,1
16,105,1,0,2
16,170,0,0,3
16,210,1,0,4
16,220,1,0,5
16,102,1,0,6
16,95,0,0,7
16,109,1,0,8
16,183,1,0,9
17,126,1,0,0
17,47,1,0,1
17,195,1,0,2
17,33,1,0,3
17,161,0,0,4
17,52,1,0,5
17,72,1,0,6
17,70,1,0,7
17,23,0,0,8
17,234,0,0,9
18,10,1,0,0
18,70,0,0,1
18,220,1,0,2
18,139,1,0,3
18,68,1,0,4
18,56,1,0,5
18,22,1,0,6
18,51,0,0,7
18,187,0,0,8
18,162,1,0,9
19,32,1,0,0
19,80,1,0,1
19,121,0,0,2
19,178,0,0,3
19,90,0,0,4
19,206,1,0,5
19,177,1,0,6
19,74,0,0,7
19,110,0,0,8
19,26,1,0,9
20,184,1,0,0
20,7,1,0,1
20,192,1,0,2
20,172,1,0,3
20,19,0,0,4
20,43,0,0,5
20,91,0,0,6
20,169,1,0,7
20,57,0,0,8
20,190,1,0,9
21,239,1,0,0
21,141,1,0,1
21,99,1,0,2
21,69,1,0,3
21,214,1,0,4
21,197,1,0,5
21,129,0,0,6
21,115,0,0,7
21,150,0,0,8
21,190,0,0,9
22,186,0,0,0
22,94,0,0,1
22,76,0,0,2
